Id,ActivityDay,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,StepTotal,TotalDistance,TrackerDistance,LoggedActivitiesDistance
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.5,8.5,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.96999979019165,6.96999979019165,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.73999977111816,6.73999977111816,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.28000020980835,6.28000020980835,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.15999984741211,8.15999984741211,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.48000001907349,6.48000001907349,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.59000015258789,8.59000015258789,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.88000011444092,9.88000011444092,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.67999982833862,6.67999982833862,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.34000015258789,6.34000015258789,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.13000011444092,8.13000011444092,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.03999996185303,9.03999996185303,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.40999984741211,6.40999984741211,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.80000019073486,9.80000019073486,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.78999996185303,8.78999996185303,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,12.210000038147,12.210000038147,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.52999973297119,8.52999973297119,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,7.15000009536743,7.15000009536743,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.25,9.25,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.80999994277954,6.80999994277954,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.71000003814697,9.71000003814697,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,9.65999984741211,9.65999984741211,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.89999961853027,8.89999961853027,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,8.02999973297119,8.02999973297119,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,7.71000003814697,7.71000003814697,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,6.57999992370605,6.57999992370605,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,7.71999979019165,7.71999979019165,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,7.76999998092651,7.76999998092651,0.0
1503960366,2016-04-12,1985,728,328,13,25,0.0,6.05999994277954,0.550000011920929,1.87999999523163,13162,0.0,0.0,0.0
1503960366,2016-04-13,1797,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,10735,8.5,8.5,0.0
1503960366,2016-04-13,1797,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,10735,6.96999979019165,6.96999979019165,0.0
1503960366,2016-04-13,1797,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,10735,6.73999977111816,6.73999977111816,0.0
1503960366,2016-04-13,1797,776,217,19,21,0.0,4.71000003814697,0.689999997615814,1.57000005245209,10735,6.28000020980835,6.28000020980835,0.0
